input triples,reference text,generated text
"(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business is located in Alan B. Miller Hall on the College of William and Mary's campus in Virginia."";""The Mason School of Business are the current tenants of Alan B Miller Hall, located in Virginia and owned by the College of William and Mary.""","Alan B. Miller Hall is currently tenanted by Mason School of Business, is located in Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia)","""The Mason Schools of Business are the current tenants of,Alan B Miller Hall (address: 101, Ukrop way) is situated in Virginia."";""The Mason School of Business are the current tenants of Alan B Miller Hall, located at 101 Ukrop Way in Virginia."";""Alan B. Miller Hall is on 101 Ukrop way (In Virginia) and its current tenants are The Mason School of Business.""","Alan B. Miller Hall is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, and is located in Virginia."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,architecturalStyle,Georgian architecture);(Mason School of Business,country,United States);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business are the current residents of the Alan B Miller Hall which was designed by Robert A M Stern in a Georgian architectural style. This business is located in the United States at 101 Ukrop Way in a building which began construction on the 30th of March, 2007. The College of William and Mary is the current owner of the building."";""Owned by the College of William and Mary and leased to the Mason School of Business, the American based Alan B Miller Hall is the design of Robert Stern. It is a Georgian building whose construction began at 101 Ukrop Way in 2007, on March, 30."";""The Georgian building Alan B Miller Hall was built by Robert Stern. The hall construction started on 30 March, 2007. It is currently tenanted by the Mason School of Business (based in the US) and owned by the College of William and Mary. Its address is 101 Ukrop Way.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, has the architectural style of Georgian architecture,  which is located in United States, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The designer of Alan B Miller Hall, located in Virginia, was Robert A M Stern. The current tenants are the Mason School of Business, however the Hall’s owner is the College of William and Mary."";""The Mason School of Business are the current tenants of Alan B Miller Hall, situated in Virginia, built by Robert A.M. Stern and owned by the College of William and Mary."";""Robert A.M. Stern is the architect for Alan B. Miller Hall which is owned by the College of William and Mary and is in Virginia. The Mason School of Business are tenants of the Hall.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is currently tenanted by Mason School of Business, is located in Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business are the current tenants of Alan B Miller Hall, which is currently owned by the College of William and Mary and which was designed by Robert A.M. Stern and completed June 1, 2009."";""The Mason School of business occupies the Alan B Miller at the college of William and Mary. The hall, which was designed by Robert A M Stern, was completed on June 1 2009."";""Owned by The College of William and Mary and completed on June 1, 2009 by architect Robert A.M. Stern, the Alan B. Miller Hall currently houses the Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is currently tenanted by Mason School of Business, was completed in 2009-06-01, and is owned by College of William & Mary."
"(Alan B. Miller Hall,currentTenants,Mason School of Business);(Mason School of Business,country,United States);(Alan B. Miller Hall,owner,College of William & Mary)","""Alan B. Miller Hall (located in United States) is owned by The College of William and Mary and its current tenants are The Mason School of Business."";""The Mason School of Business are the current tenants of Alan B Miller Hall, located in the United States and owned by the College of William and Mary."";""The Mason School of Business (located in the United States) are the current tenants of Alan B Miller Hall. The owner of the College is William and Mary.""","Alan B. Miller Hall is currently tenanted by Mason School of Business,  which is located in United States, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,architecturalStyle,Georgian architecture);(Alan B. Miller Hall,owner,College of William & Mary)","""The College of William and Mary own the Alan B. Miller Hall which was built in the Georgian architectural style. The building was designed by Robert A.M. Stern and has the address of 101 Ukrop Way. The current tenants are The Mason School of Business."";""Alan B. Miller Hall was designed in the Georgian style by Robert A.M. Stern. The College of William and Mary currently own the Alan B. Miller Hall at 101 Ukrop Way, which has as its tenants The Mason School of Business."";""The Mason School of Business are the current tenants of Alan B Miller Hall which is designed in the Georgian architectural style. It is owned by The College of William and Mary and was designed by Robert A M Stern. The address of the building is 101 Ukrop Way.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, has the architectural style of Georgian architecture, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia)","""The Mason School of Business currently occupies Alan B. Miller Hall located in Virginia, the building was designed by Robert A.M. Stern."";""In Virginia, one can find the Mason School of Business located in Alan B Miller Hall that was designed by Robert A M Stern."";""The Mason School of Business are the current tenants of Alan B Miller Hall, located in Virginia and constructed by Robert A.M. Stern.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is currently tenanted by Mason School of Business, and is located in Virginia."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The construction of Alan B. Miller Hall started on March 30th, 2007. Robert A. M. Stern is the architect of the building. Alan B. Miller Hall is located at 101 Ukrop Way, Virginia, and the current tenant is the Mason School of Business. The College of William and Mary owns the Hall."";""The construction of Alan B. Miller Hall began on March 30th, 2007. Robert A. M. Stern designed the building. Alan B. Miller Hall is located at 101 Ukrop Way, Virginia,and is owned by the College of William and Mary. The current tenant is the Mason School of Business."";""The College of William and Mary is the owner of the Alan B. Miller Hall at 101 Ukrop Way in Virginia. The building, which began construction on the 30th of March 2007, was designed by Robert A.M. Stern. The current occupants are The Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, is located in Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,owner,College of William & Mary)","""Owned by The College of William and Mary, Alan B. Miller Hall was completed on June 1st, 2009 and hosts tenants including the Mason School of Business."";""The Mason school of business is currently located at Alan B Miller hall which was completed on June 1,2009 and is owned by The College of William and Mary."";""The Mason School of Business is in the Alan B. Miller Hall, which was completed on June 1, 2009 and is owned by The College of William and Mary.""","Alan B. Miller Hall is currently tenanted by Mason School of Business, was completed in 2009-06-01, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,location,Virginia)","""The Mason School of Business is located at the Alan B. Miller Hall in Virginia at 101 Ukrop Way. The architect of the building was Robert A M Stern and the building completion date was 01/06/2007."";""The address of Alan B. Miller Hall is 101 Ukrop Way, Virginia and the hall is currently tenanted by The Mason School of Business. The hall was designed by Robert A.M. Stern and was completed on June 1st, 2009."";""Alan B. Miller Hall, which was designed by Robert A.M. Stern is in the State of Virginia, at 101 Ukrop Way. The building was finished on 01/06/2009 and is currently tenanted by The Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, was completed in 2009-06-01, and is located in Virginia."
"(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Williamsburg, Virginia)","""The Mason School of Business are the current tenants of Alan B Miller Hall in Williamsburg, Virginia."";""The Mason School of Business are the current tenants of Alan B Miller Hall, located in Williamsburg, Virginia.""","Alan B. Miller Hall is currently tenanted by Mason School of Business and is located in Williamsburg, Virginia."
"(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Mason School of Business,country,United States)","""The Mason School of Business (located in the United States) are the current tenants of Alan B Miller Hall. Its address is 101 Ukrop Way, located in Virginia."";""The Mason School of Business are the current tenants of Alan B Miller Hall, located at 101 Ukrop Way in Virginia in the United States."";""The Alan B Miller Hall is located in the United States in the state of Virginia at the address of 101 Ukrop Way. The Mason School of Business is currently the tenant of the Alan B Miller Hall.""","Alan B. Miller Hall is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, is located in Virginia, and  which is located in United States."
"(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia)","""The Mason School of Business are the current tenants of Alan B Miller Hall which is located in Virginia."";""The Mason School of Business are the current tenants of Alan B Miller Hall, which is located in Virginia."";""Situated in Virginia, Alan B Miller Hall's current tenants are the Mason School of Business.""",Alan B. Miller Hall is currently tenanted by Mason School of Business and is located in Virginia.
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,architecturalStyle,Georgian architecture);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business are the current tenants of Alan B Miller Hall which is a building in the Georgian architectural style. The building is owned by The College of William and Mary and was designed by Robert A.M. Stern. The address of the hall is 101 Ukrop Way and the construction start date was the 30th of March 2007."";""The construction of Alan B. Miller Hall started on March 30th, 2007. Robert A. M. Stern is the architect of the building, which was built in the Georgian architecture style.. Alan B. Miller Hall is located at 101 Ukrop Way, and the current tenant is the Mason School of Business. The College of William and Mary owns the Hall."";""Alan B. Miller Hall, owned by the College of William and Mary, started being built at 101 Ukrop Way on March 30, 2007 and used the Georgian-style design of architect Robert A M Stern. The building is occupied today by the Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, has the architectural style of Georgian architecture, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Mason School of Business,country,United States);(Alan B. Miller Hall,owner,College of William & Mary)","""The architect of Alan B Miller Hall, owned by The College of William and Mary, is Robert A M Stern and it is situated at 101 Ukrop Way, Virginia, USA. They started to build the Alan B Miller Hall on the 30th of March, 2007 and The Mason School of Business are now its tenants."";""The address of the Alan B. Miller Hall is """"101 Ukrop Way"""" in Virginia, USA and it currently houses The Mason School of Business. The College of William and Mary is the owner of the Robert A.M. Stern designed hall which began construction on 30/03/2007."";""The Alan B Miller Hall is located in Virginia, USA at 101 Ukrop Way and was designed by Robert A.M. Stern while being owned by The College of William and Mary. The building began construction on 30/03/2007 and is now occupied by The Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, is located in Virginia,  which is located in United States, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The College of William and Mary is the owner of the Alan B. Miller Hall at 101 Ukrop Way in Virginia, which was the design of Robert A.M. Stern. The building of the hall started on the 30th of March 2007 and completed on the 1st of June 2009. The Mason School of Business are the current tenants of the building."";""The College of William and Mary is the owner of the Alan B. Miller Hall which is located in Virginia at 101 Ukrop Way. The Mason School of Business are the current tenants of the hall which was completed on 01/06/2009. The building was designed by Robert A.M. Stern and began construction on 30/03/2007."";""The College of William and Mary is the owner of the Alan B. Miller Hall which is situated in Virginia at 101 Ukrop Way. The hall was completed on the 1st of June 2009 and began construction on the 30th of March 2007. The architect of the Alan B Miller Hall is Robert A M Stern and the current occupants are The Mason School of Business.""","Alan B. Miller Hall was built between 30 March 2007 and 2009-06-01, and was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, in Virginia, is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Mason School of Business,country,United States);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business is located in the United States at the Alan B Miller Hall which is owned by The College of William and Mary. The hall is located at 101 Ukrop Way and its build began on the 30th of March, 2007 after being designed by architect Robert A M Stern."";""Designed by Robert Stern and located at 101 Ukrop Way the Alan B. Miller Hall building was commenced on 30 March of 2007. Currently tenanted by the Mason School of Business and owned by the College of William and Mary, the building is located in the United States."";""Construction of the Alan B. Miller Hall began on March 30th, 2007. The building's architect is Robert A. M. Stern, and it is owned by the College of William and Mary. The Alan B. Miller Hall is located at 101 Ukrop Way, in the United States, and the current tenant is the Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business,  which is located in United States, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,tenant,Mason School of Business);(Alan B. Miller Hall,owner,College of William & Mary)","""Alan B. Miller Hall, which is owned by The College of William and Mary, was designed by the architect Robert A.M. Stern. The address of the hall is 101 Ukrop Way and the current tenants are the Mason School of Business."";""Alan B. Miller Hall, property of The College of William and Mary, was designed by architect Robert A.M. Stern. The location of the building is 101 Ukrop Way and it is currently tenanted by The Mason School of Business."";""Alan B. Miller Hall’s address is 101 Ukrop Way and the building was designed by Robert A.M. Stern. The Mason School of Business are the current tenants and The College of William and Mary are the owners of the building.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, is leased to Mason School of Business, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,owner,College of William & Mary)","""The owner of the Alan B. Miller Hall is the College of William and Mary and it is located at 101 Ukrop Way. The Mason School of Business are the current tenants. The architect of the Hall was Robert A M Stern."";""The Mason School of Business are the current tenants of Alan B Miller Hall, designed by Robert A.M. Stern, located at 101 Ukrop Way, and owned by the College of William and Mary."";""Alan B. Miller Hall, which was designed by Robert A.M. Stern is situated at 101 Ukrop Way. It is owned by The College of William and Mary and The Mason School of Business are the current tenants.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,tenant,Mason School of Business);(Alan B. Miller Hall,owner,College of William & Mary)","""Construction on Alan B. Miller Hall, which was designed by Robert A. M. Stern, began on March 30th, 2007. The building is located at 101 Ukrop Way and is owned by the College of William and Mary. The Mason School of Business is the Alan B. Miller Hall's current tenant."";""The construction of Alan B. Miller Hall started on March 30th, 2007. Robert A. M. Stern is the architect of the building. Alan B. Miller Hall is located at 101 Ukrop Way, and the current tenant is the Mason School of Business. The College of William and Mary owns the Hall."";""Based at 101 Ukrop Way and designed by Robert AM Stern, the Alan B Miller Hall is owned by the College of William and Mary. Construction started on March, 30 2007 and the building currently counts the Mason School of Business as tenants.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, is leased to Mason School of Business, and is owned by College of William & Mary."
"(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,owner,College of William & Mary)","""The College of William and Mary is the owner of the Alan B. Miller Hall, whose address is """"101 Ukrop Way""""."";""The college of William and Mary is the owner of the Alan B. Miller Hall, 101 Ukrop Way."";""Alan B. Miller Hall (owned by the College of William and Mary) is at 101 Ukrop Way.""",Alan B. Miller Hall is located at 101 Ukrop Way and is owned by College of William & Mary.
"(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,owner,College of William & Mary)","""The College of WIlliam and Mary is the current owner of Alan B. Miller Hall and the Mason School of Business is the current tenants."";""The Mason School Of Business are the current tenants of Alan B Miller Hall, and the college of William and Mary is its owner.""",Alan B. Miller Hall is currently tenanted by Mason School of Business and is owned by College of William & Mary.
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,owner,College of William & Mary)","""The address of Alan B. Miller Hall is 101 Ukrop Way and the property was designed by architect Robert A M Stern. The current owner of the building is the College of William and Mary and the building was completed on 01/06/2009. The Mason School of Business are currently based at the Hall and are current tenants."";""The College of William and Mary own the Alan B. Miller Hall which was completed on 1st June 2009 and was designed by Robert A.M. Stern. The Mason School of Business are the current tenants of Alan B Miller Hall which is located at 101 Ukrop Way."";""The Mason School of Business are the current occupants of Alan B Miller Hall which is the property of the College of William and Mary. The building itself was designed by architect Robert A.M. Stern and was completed on June 1st, 2009. It is located at 101 Ukrop Way.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, was completed in 2009-06-01, and is owned by College of William & Mary."
"(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01)","""The Mason School of Business are the current tenants of Alan B Miller Hall, which was completed on June 1, 2009."";""Completed on June 1st, 2009, Alan B Miller Hall's current tenants are the Mason School of Business."";""The Mason school of Business are the current tenants of Alan B. Miller Hall (completed on 1 June 2009).""",Alan B. Miller Hall is currently tenanted by Mason School of Business and was completed in 2009-06-01.
